email,password
john.smith@acmecorp.com,P@ssw0rd123
jane.doe@acmecorp.com,Summer2022!
mike.johnson@acmecorp.com,qwerty456
sarah.williams@acmecorp.com,Welcome1
david.brown@techfirm.io,dragon99
emily.clark@techfirm.io,iloveyou!
robert.jones@nexusllc.net,monkey123
linda.taylor@nexusllc.net,123456789
kevin.martin@acmecorp.com,abc@1234
rachel.white@globalinc.com,pass1234!
tom.harris@globalinc.com,sunshine7
amanda.lewis@globalinc.com,flower2023
chris.walker@startupxyz.com,letmein!
jessica.hall@startupxyz.com,master99
james.allen@acmecorp.com,trustno1
patricia.young@nexusllc.net,!Secure99
mark.hernandez@techfirm.io,baseball1
laura.king@brightco.org,!q2w3e4r
steven.wright@brightco.org,passw0rd
melissa.scott@acmecorp.com,winter2023
